Arabic,English
بالتأكيد,certainly
لأن,because
لديه,He has
لنا,for us
خلال,during
ظ,ظ
بشكل,In a way
العالم,the world
فحسب,Just
حال,Current
الذهاب,Going
عليها,On it
بـ,b
أعني,namely
فعلت,I did
قال,He said
هم,they
المنزل,the home
عنه,About him
ها,Ha
بشأن,about
أفعل,I do
أكون,I am
اللعنة,the curse
للغاية,extremely
فيه,In it
بين,between
أننا,That we
منك,From you
وهذا,This
لكِ,for you
جيدة,Good
يعني,Meaning
مجرد,merely
أظن,I think
انك,You
مني,Mona
أنّ,that
بالنسبة,with regards
الأمور,Things
فكرة,an idea
أم,or
متى,when
الشيء,The thing
المال,the money
كنا,We were
أقول,I say
عمل,a job
أبداً,never
ستكون,It will be
عليّ,on
أيّ,any
أمر,commander
تقول,She says
توقف,to stop
هؤلاء,these
السيد,Mr.
انظر,Look
لما,when
منه,From him
الطريق,The road
أشعر,I feel
حصلت,I got
الحياة,life
أني,that I
نفس,same
معه,With him
بحاجة,Need
بسبب,because of
الذين,Those
تستطيع,You can
بأس,Bas
اي,any
بدون,without
لكم,your
تبدو,It looks
أرى,Show
الجحيم,Hell
تكن,Be
اعتقد,I believe
عند,when
آسفة,sorry
حيث,where
دائماً,always
وأنت,And you
تحت,under
حسنًا,Good
تعال,Come here
بالفعل,actually
بل,but rather
فضلك,Please
الأشياء,things
ليلة,night
نفسك,yourself
لكي,in order to
تعتقد,You believe
وهو,He is
بحق,Rightfully
مشكلة,problem
شيئا,something
أرجوك,Please
أذهب,Go
يريد,He wants
تماماً,completely
الـ,The
الوحيد,only
قتل,killing
إنهم,They
الشخص,person
رأيت,I saw
عزيزتي,My dear
طوال,throughout
بهذه,With this
الشرطة,Police
الأن,now
أحب,I love
الذى,that
أيضا,also
بنا,Building
أردت,I wanted
أكن,I am
كلّ,all
النار,fire
سمعت,I heard
اجل,Okay
جميع,all
أَنْ,that
قليلاً,a little
مالذي,What
بأنه,That he
والآن,And now
إلي,to
انتظر,I am waiting
فتاة,girl
كبير,big
يعرف,He knows
او,or
فيها,In it
حسنٌ,Good
الرجال,men
اريد,I want
لأنه,Because
السبب,the reason
سنوات,years
الباب,The door
نذهب,We go
دون,Don
حياتي,my life
لابد,It is necessary
السيارة,car
تريدين,Do you want
خارج,outside
ومن,And from
ثلاثة,three
فعله,He did it
تذهب,go
كانوا,They were
اذهب,Go
الحصول,Get
يقول,He says
الواقع,reality
كثيراً,a lot
اعرف,I know
أنهم,They
سبب,a reason
كبيرة,large
مما,Which
أحتاج,I need
قمت,I did
إنّه,that it
منها,From it
كنتُ,I was
للتو,Just
استطيع,I can
نوع,type
هنالك,there
تعرفين,You know
جميلة,beautiful
بكل,With all
دولار,dollar
بأنك,That you
لأنني,Because I
الأفضل,The best
دائما,always
جديد,new
الامر,The matter
اين,where
بالضبط,exactly
جون,John
دعنا,Let's
أنظر,Look
المدينة,City
الخاص,private
تعلمين,You know
جميل,Beautiful
بسرعة,quickly
الأرض,the earth
لحظة,moment
الطريقة,The method
طريقة,road
رائعة,amazing
سعيد,happy
دقيقة,minute
لكنه,But he
غرفة,room
إليه,To him
التحدث,Speaking
ثانية,second
دعني,Let me
لكنني,But I
الفتاة,The girl
لمَ,did not
ولم,And did not
أنتم,you all
عظيم,great
انهم,They
اوه,Oh
جيداً,well
لديّ,I have
بينما,while
نفسي,myself
إليك,Here you
قام,He did
لديها,She has
عام,general
اعلم,Know
يعمل,He works
سأكون,I will be
عيد,holiday
رفاق,comrades
ألم,pain
لهم,to them
تعمل,It works
تتحدث,She speaks
القيام,Doing
الله,God
ساعة,hour
المرة,time
هيّا,Let's go
ترى,See
مهلاً,Wait
جاك,Jack
أنتَ,You
الخير,Good
متأكد,sure
جميعاً,All of them
أحاول,I'm trying
شيئ,something
الموت,death
رقم,number
منهم,Among them
سيارة,car
مجدداً,Again
ايها,Oh
عنك,About you
يفعل,He does
فقد,Lost
ذهبت,I went
المزيد,More
أتمنى,I hope
مات,He died
يتم,It is
لكني,But I
طريق,road
وجدت,I found
وقد,And
أول,first
معها,With her
سعيدة,Happy
لدى,I have
أقصد,I mean
إلا,unless
صباح,morning
الرئيس,President
احد,One
فرصة,an opportunity
الأولى,First
تباً,Damn
يرام,Okay
عليكِ,upon you
يكفي,It is enough
علاقة,relationship
صغيرة,small
الأقل,The least
لأنك,Because you
غريب,strange
لنذهب,Let's go
المدرسة,the school
ــ,—
الصباح,the morning
أفهم,I understand
حين,when
صديقي,my friend
سأذهب,I'm going
أنكِ,That you
تأتي,It comes
الخاصة,Private
أخبرني,Tell me
تقوم,It does
نستطيع,We can
نفسه,same
التى,that
الأطفال,children
حالة,condition
لى,for me
هى,she
يستطيع,He can
يجري,It is taking place
سنة,year
نفعل,We do
أتعلم,Do you know?
نهاية,end
أفكر,I'm thinking
أود,I would
عشر,ten
شىء,something
أقوم,I do
الحب,love
أنّه,that it
كنتِ,I was
معاً,together
أى,any
انني,I
لديهم,They have
جديدة,New
يعلم,He knows
قالت,She said
بدأت,It began
الأول,the first
دقائق,minutes
عني,About me
سيدة,Mrs.
حالك,Your condition
إنني,I
عزيزي,my dear
رجال,men
نعرف,We know
الجنس,Sex
؛,;
رؤية,vision
ينبغي,It should
الي,to
حصل,He got
معنا,With us
الطفل,child
وليس,Not
كي,in order to
تحتاج,You need
قليلا,a little
حياة,life
اسمع,Listen
الساعة,the hour
أكبر,greater
اليس,Isn't it
فهمت,Understood
عنها,About her
أريدك,I want you
رجاءً,please
تفعله,Do it
وماذا,And what
ظننت,I thought
سيدتي,my lady
البعض,Some
الصغير,The little one
تعني,It means
إنّها,that it
البيت,the house
رأيك,Your opinion
تكوني,You are
هُنا,here
والدك,Your father
مهما,whatever
العودة,Return
تماما,completely
لطيف,Nice
يقوم,He does
السجن,the prison
الليل,the night
السيدة,Mrs.
أخي,my brother
بأنني,That I
طويلة,long
والدي,my father
وهي,It is
حان,It's time
أقل,less
الهاتف,The phone
عبر,via
مهلا,Wait
ترجمة,translation
نحتاج,We need
أيتها,Oh
وما,gesticulate
اكثر,more
أتحدث,I'm talking
أيام,days
أحدهم,One of them
أولاً,Firstly
الماضي,the past
أحبك,I love you
الطعام,food
البقاء,Staying
معرفة,knowledge
العام,Year
أية,any
ل,to
أصبح,become
ذات,The
الجديد,New
مِنْ,from
لكنك,But you
أبدا,never
وضع,situation
ً,!
سيئة,bad
طفل,child
فوق,above
حياتك,Your life
داخل,inside
وكان,And it was
نكون,We are
خطأ,mistake
سام,Sam
ونحن,And we
منزل,house
تشعر,Feeling
عليهم,On them
المفترض,Supposed
نتحدث,We talk
طويل,long
نصف,half
فريق,a team
أخذ,take
الماء,Water
لاحقاً,Later
حق,right
يأتي,It comes
صديق,friend
غداً,tomorrow
سأفعل,I will
منا,From us
الصغيرة,The small
نريد,We want
وانا,And I
للمنزل,For the home
ايضا,also
آه,Yes
خذ,Take
جزء,part
لكنها,But it
جو,atmosphere
أشياء,things
كلمة,word
تفعلين,You do
أعمل,Work
يمكنه,He can
الآخر,The other
تحاول,Trying
هَلْ,Do
صغير,small
لستُ,I am not
بخصوص,regarding
أخبرك,I told you
الحال,The situation
بأي,In any
نظرة,look
لأجل,For the sake of
الخروج,Exit
تظن,You think
النوم,sleep
الماضية,Past
دكتور,doctor
المرأة,woman
انظري,Look
بد,Bed
لمدة,For the duration
وجود,presence
الحرب,War
ذا,That
تقلق,worry
بلا,without
عرفت,I knew
ثلاث,three
هلا,Do
أدري,I know
اللعين,damned
ذهب,gold
الا,unless
المشكلة,The problem
الأسبوع,Week
الوحيدة,The only one
كله,entire
تعالي,Come here
مايكل,Michael
إنك,You
كلاّ,both
حاولت,I tried
أهلاً,Hello
دعونا,Let's
اخرى,Other
أنّك,that you
وشك,Doubt
فعلاً,actually
وسوف,And will
عائلة,family
افعل,Do
عدم,non
أخبرتك,I told you
كثيرا,a lot
سيدى,my lord
رئيس,president
فأنا,I
الغرفة,The room
وحسب,According to
المساعدة,Help
الخارج,outside
بعيداً,away
أعطني,Give me
اذن,permission
سيء,bad
العديد,Many
أصبحت,I became
الطبيب,doctor
رسالة,message
خمسة,five
كَانَ,He was
يذهب,He goes
العشاء,dinner
الفتيات,girls
النساء,women
ضد,against
تحصل,Get
نقوم,We do
جيدا,well
يهم,It matters
بهم,With them
الموضوع,the topic
وفي,And in
الممكن,Possible
اخر,last
الفتى,The boy
مباشرة,directly
بالأمر,By order
أتذكر,I remember
بيت,house
مايك,Mike
لأني,Because
بطريقة,In a way
ساعات,hours
حينما,When
فترة,a period
الأشخاص,People
نيويورك,New York
أراك,I see you
أنتي,female
شكرًا,Thanks
اسم,name
قصة,story
توجد,There are
القادمة,Next
امرأة,woman
فتى,boy
أَنا,I
افضل,better
حقيقي,TRUE
بواسطة,by
مجنون,crazy
زوجتي,my wife
أهذا,Is this
متأكدة,I'm sure
ذاهب,Going
يحصل,He gets
تحب,love
أتعرف,Do you know
النهاية,the end
مكتب,office
ولن,And will not
مثلك,like you
اننا,We
بالخارج,Abroad
لهذه,For this
الحق,Right
بلى,indeed
أصدق,The most truthful
أخر,last
آمل,hope
اه,Yes
أنْ,that
الإطلاق,Launch
فرانك,Frank
طلب,to request
بدأ,Started
لعبة,game
مرحبًا,Welcome
جورج,George
قريباً,almost
اني,that I
مجموعة,group
أمام,before
الحديث,Hadith
جي,G
مساعدتك,Your help
حاول,Try
شخصاً,person
حقيقة,fact
جميعا,All
اللقاء,The meeting
وبعد,And after
مدى,bezel
صورة,image
بأنها,That she
سوى,but
التفكير,thinking
الملك,the king
الأخيرة,The last
الثانية,Second
فهو,He
مِن,from
تحدث,to speak
فيما,In the
الوضع,the situation
عدد,number
حفلة,a party
ولكني,But I
لسنا,We are not
تبقى,Stay
بشيء,something
مدينة,city
كهذا,Like this
كلها,All of them
انتهى,I finish
كُلّ,all
يحاول,He tries
نحو,about
أشهر,Most famous
مثير,arousing
شركة,a company
تفهم,Understand
اسف,Sorry
الجديدة,New
لكل,per
أصدقاء,friends
النوع,Type
الجيد,Good
اى,any
إليها,To her
بأني,That I
ميت,dead
بيننا,Between us
الرب,Lord
عملية,practical
ذو,With
بيتر,Peter
بعضنا,Some of us
القضية,The case
وكل,And all
أحضر,bring
قيد,Under
تشارلي,Charlie
أخرج,Get out
قادم,coming
الواضح,Clear
دعيني,Let me
تفضل,Help yourself
توم,Tom
أتيت,I came
أيضًا,also
أسمع,Listen
تأخذ,Take
قول,say
العائلة,Family
بنفسك,yourself
موعد,an appointment
عندي,I have
أثناء,during
ممكن,maybe
تخبرني,Tell me
إذًا,if
الكبير,The big one
صاح,He shouted
إنتظر,I am waiting
الزواج,marriage
فعلته,I did it
بكِ,With you
ولكنه,But he
حبيبتي,My dear
تذكر,to remember
أمك,Your mother
مستحيل,impossible
اعتقدت,I believed
مليون,million
إليّ,to
علم,science
قل,Say
طلبت,I asked
ربّما,maybe
ذاك,that
حسن,Hassan
الأخرى,The other
يحتاج,Needs
تعود,Return
الهي,divine
زلت,I'm still
نسيت,I forgot
وصلت,It arrived
انتظري,Wait
نعلم,We know
أنّي,that I
النظر,Looking
إذهب,Go
أتريد,Do you want
عدة,several
سيحدث,It will happen
ابن,son
لديكِ,You have
الصعب,The difficult
تقريباً,almost
الحظ,luck
ألف,one thousand
مساعدة,help
تصبح,become
سأقوم,I will
جين,Gene
جئت,I came
خلف,behind
خمس,five
د,d
الحقيقي,The real
منكم,From you
دي,D
يمكنكِ,You could
أربعة,four
القليل,little
يزال,Still
الدم,blood
إننا,We
أسرع,faster
البداية,the beginning
سأعود,I will return
صعب,difficult
بعيدا,away
كن,Be
عرض,an offer
بكثير,By far
وعندما,And when
اسمه,His name
تفكر,Thinking
آنسة,Ms
تعتقدين,Do you think
فقدت,Lost
مهم,important
يتحدث,He speaks
بتلك,With that
لأي,For any
بعدها,After that
يريدون,They want
يوماً,day
يعود,He returns
جاء,came
هُناك,there
أتعلمين,Do you know
ترك,to leave
المناسب,Suitable
السؤال,Question
اكون,I am
الآخرين,Others
تقصد,You mean
اتصل,Call
تبدين,You look
للعمل,For work
معهم,With them
التالي,the next
شرطة,police
قط,cat
جريمة,crime
أبحث,I'm looking
توقفي,Stop
بنفسي,myself
الشمس,The sun
فكرت,I thought
يفترض,It is assumed
السماء,the sky
الوصول,Access
الجانب,side
أحصل,I get
عشرة,ten
معا,together
الداخل,Inside
أعود,I return
المعلومات,Information
تحمل,to bear
حَسناً,Good
أطفال,children
الثاني,the second
جيّد,good
هذة,This is amazing
ببعض,With some
يارجل,Man
ماري,Mary
بكم,with you
وداعاً,Farewell
يعد,It is
الأيام,Days
أسوأ,worst
مشاكل,problems
البحث,Search
ستفعل,You will
اسمي,my name
واضح,clear
جهاز,device
حتّى,until
أيّها,Oh
الدخول,Login
الحلقة,Episode
قتلت,Killed
مستعد,ready
يقولون,They say
سؤال,a question
ايضاً,also
لأنها,Because she
فعلا,actually
بضعة,a few
نوعاً,Type
عما,About
أمس,yesterday
بول,pee
الجزء,Part
اقول,I say
اللحظة,The moment
القديمة,Old
لويس,Louis
مَن,from
كرة,ball
المخدرات,drugs
محق,Right
ستة,six
بيل,Bill
وهذه,And this
المستشفى,hospital
صوت,voice
نرى,We see
الكلام,Speech
رجاء,please
سنذهب,We will go
وانت,And you
قضية,issue
كامل,complete
أكره,I hate
الجريمة,The crime
مختلف,various
خاصة,especially
اتفقنا,We agreed
أخذت,I took
انتي,female
خطر,risk
قطعة,piece
يمكننى,I can
رائعاً,Wonderful
طالما,as long as
زال,Zall
أحياناً,sometimes
أأنت,Are you
مقابل,In exchange
ماكس,Max
قم,Get up
عليكم,You
مركز,center
بإمكاني,I can
وأن,and that
الدكتور,Dr.
القائد,The leader
بأننا,That we
المنطقة,area
يُمْكِنُ,maybe
الخطأ,The mistake
أطلب,I request
انتِ,You
تعيش,live
الاشياء,things
لفترة,For a period
زوجتك,Your wife
يحب,He loves
المعذرة,Sorry
عالم,world
طبيب,doctor
الفريق,team
الصورة,Image
نفسها,itself
لكننا,But we
الاتصال,Contact
حيال,Regarding
والذي,Which
جيمي,Jimmy
مفهوم,concept
وبعدها,And then
فلا,No
بأنّ,that
مختلفة,different
جدًا,very
ب,for
شعرت,I felt
حقًا,truly
الشارع,street
بإمكانك,You can
غدا,tomorrow
مضحك,funny
الطائرة,The plane
بوب,Bob
فعلها,He did it
ينتهي,It ends
ولكنني,But I
منتصف,Mid
القانون,the law
رأيته,I saw him
هنري,Henry
أنتظر,I am waiting
الهواء,air
بعمل,By working
الكتاب,The book
قسم,to divide
سنكون,We will be
فيلم,film
أهتم,I care
موجود,existing
بشدة,severe
القتل,murder
ممتاز,excellent
العثور,Find
مرات,times
يَجِبُ,He should
كثير,a lot
ابني,my son
لطيفة,Latifa
أقسم,I swear
الشعور,Feeling
وجه,face
وإذا,And if
أولئك,Those
إني,that I
أجد,I find
معكِ,with you
حوالي,about
ثانيةً,second
قليل,a little
أحداً,One
حاجة,need
لمْ,did not
يعيش,He lives
أخيراً,finally
إعادة,re
أنتما,you
حالاً,immediately
دليل,guide
إنّي,that I
فإن,for
السنة,Year
مازال,Still
القاتل,killer
ولقد,And I have
ميلاد,birthday
شهر,month
تعلمون,You know
السيطرة,control
قوة,power
رحلة,a trip
ستعمل,It will work
أسفل,lowest
يعتقد,He believes
زوجي,my husband
علمت,I learned
عملي,practical
القادم,Next
وهل,And is it
تزال,Still
العرض,the offer
الصحيح,Correct
أحمق,foolish
القصة,The story
هراء,prattle
مساء,evening
تركت,I left
يموت,He dies
أنظري,Look
جاهز,ready
المكتب,Office
تفعلي,Do it
اخرج,Get out
محاولة,attempt
الصور,the pictures
عدت,I returned
اللعبة,The game
عاد,He returned
ترغب,You want
وكيف,And how
اسمك,your name
الوغد,villain
داني,Danny
تبحث,Looking
اسمعي,Listen
ولكنك,But you
خطة,plan
سارة,pleasant
أننى,I
وراء,behind
السفينة,ship
قائمة,existing
وضعت,Placed
ابي,my dad
حقيقية,Real
تنظر,Look
بأنّك,that you
تود,Tod
موقع,location
بالكامل,Completely
مهمة,a task
ابدا,never
ثمّ,then
أطلق,Launch
شباب,youths
البلدة,town
القهوة,coffee
أسف,Sorry
المحتمل,Possible
حينها,Then
أرغب,I want
راي,opinion
مره,time
تخرج,graduation
مازلت,I still
تستطيعين,You can
معلومات,information
اشعر,I feel
أعد,Prepare
انظروا,Look
شيئًا,something
كوني,Be
الفرصة,Opportunity
ماهو,What is it
قلبي,my heart
الخط,Line
إنّ,that
الشئ,The thing
تبا,Damn
صديقك,Your friend
نيك,Nick
مجددا,Again
تجد,You find
قاتل,killer
نجد,We find
إيجاد,Find
يجعل,makes
يصبح,becomes
نقطة,a point
البشر,Humans
نظام,system
تبدأ,It begins
تملك,Own
أملك,I own
ضع,Place
تمت,Done
سي,bad
مضى,He passed
أعرفه,I know him
أخبر,Tell
البحر,the sea
رؤيتك,Your vision
امي,My mom
رأسك,your head
الأخبار,News
أما,As for
يستحق,He deserves
العميل,Customer
المحكمة,The court
هـذا,This
دعينا,Let's
أنّها,that it
تقلقي,Don't worry
تغيير,changing
الأرجح,Most likely
بالداخل,Inside
عدا,Except
منزلي,my house
القديم,Old
خائفة,scared
كثيرة,Many
للحصول,To obtain
قامت,She did
شي,something
إطلاق,release
المشاكل,Problems
كلنا,All of us
حتي,until
خيار,option
جيمس,James
بماذا,with what
أنـا,I
عندها,Then
كلما,whenever
تحرك,move
أجلك,For your sake
الغد,tomorrow
ماتت,She died
يتعلق,It relates
غبي,stupid
اذاً,if
سيّدي,my lord
أخبار,news
عائلتي,my family
القلب,the heart
بعيد,far
جعل,make
الحالة,the condition
إمرأة,woman
أستطع,I can
الموسيقى,Music
أعلى,higher
سبق,Previous
إلينا,To us
كلّا,both
ارجوك,Please
القيادة,Leadership
لأننا,Because we
الشركة,Company
العيش,living
البارحة,yesterday
القوة,power
يجدر,It is worth
منطقة,region
يمكنها,She can
بالكاد,barely
خاص,private
وظيفة,job
اثنان,two
معنى,meaning
الطابق,floor
العاهرة,whore
القول,Saying
تحدثت,She spoke
حد,end
الميلاد,birth
عملك,Your work
النقود,Money
قريب,close
أولا,Firstly
فلن,So
رجلاً,man
عندك,you have
وكنت,And I was
قلته,I said it
ال,the
الأحمق,idiot
أتى,came
ام,or
جيم,Jim
حياته,His life
الكبيرة,The large
السابقة,Previous
صاحب,owner
الملابس,clothes
يبدوا,It seems
وقال,He said
للأبد,forever
بنفس,the same
أشخاص,people
وإلا,Otherwise
الأمن,Security
خائف,scared
الأكثر,The most
السابق,the previous
أفعله,I do it
أخشى,I'm afraid
السلاح,Weapon
تموت,You die
ولكنها,But it
سنفعل,We will
لبعض,For some
وهم,delusion
الدماء,blood
اثنين,two
لكَ,for you
أعدك,I promise you
حفل,party
وقتاً,time
تريده,You want it
أسابيع,weeks
يكونوا,They are
الجيش,Army
زوجة,wife
فهذا,This
أخبرتني,She told me
أعتذر,I apologize
ديفيد,David
كلانا,Both of us
سنقوم,We will
واحداً,One
برنامج,program
فأنت,So you
المتحدة,United
سلاح,weapon
اللعينة,Damn it
صندوق,fund
يديك,your hands
الكلب,dog
لطالما,always
ابتعد,Stay away
الحمام,the bathroom
الغير,Other
بني,brown
أمريكا,America
الهدف,the goal
ولد,child
الأخير,The last
وجدنا,We found
انتم,you all
سخيف,silly
لمن,for whom
احب,I love
قطع,to cut
ثمة,There are
بجانب,next to
احتاج,I need
تقريبا,almost
الامور,Things
قدم,foot
قوية,strong
عاماً,year
اظن,I think
الحفلة,The party
نبدأ,Let's begin
غريبة,Strange
فهم,to understand
وذلك,That's
اعني,namely
أراد,He wanted
ظهر,back
سماع,hearing
الكفاية,Sufficiency
الثالث,the third
تناول,Eat
التعامل,Dealing
الانتظار,Waiting
دور,role
هدية,gift
هاه,Huh?
كتاب,book
معى,with me
تقل,Reduce
رائحة,scent
معظم,most
الفيلم,The film
حبيبي,my dear
سأتصل,I will call
بيلي,Billy
مكانك,Your place
نعمل,We work
لوس,Los
الصوت,Sound
المياه,Water
والتي,Which
مثلي,gay
أذا,if
شعور,feelings
الخلف,The back
عادة,usually
قريبا,almost
ألن,Allen
ابنتي,my daughter
كُنت,I was
أنكم,that you
المستقبل,the future
ويل,Will
ميل,tendency
خرجت,I went out
إثنان,two
وجهي,My face
الهراء,Nonsense
رغم,despite
فجأة,suddenly
مثيرة,arousing
الإتصال,Contact
أيمكنك,Can you
منكِ,From you
والدتك,Your mother
أختي,my sister
ليسوا,They are not
الجميلة,The beautiful
المبنى,building
بأنّه,That he
النظام,order
لديكم,You have
ِ,�
بقدر,As much as
هاري,Harry
نبحث,We are looking
تصل,Arrives
بدلاً,Instead
كنتَ,I was
درجة,degree
الرغم,Despite
لَيسَ,not
بالمناسبة,By the way
طريقي,My way
قادمة,Coming
مرّة,time
آل,the
السرير,bed
وجهك,your face
أمراً,an order
لكنّي,But I
وإن,and that
السيارات,cars
المهمة,The mission
بالله,By God
أهلا,Hello
اذهبي,Go
أتصل,Call
زوجته,His wife
القبض,Arrest
مريض,sick
بلدي,My country
مـن,From
أخبريني,Tell me
لاحقا,Later
الشاب,The young man
العجوز,The old woman
نعود,We return
سيّد,sir
الأب,father
مذهل,amazing
عملت,I worked
مايرام,Mayram
مارك,Mark
وأنتِ,And you
أحضرت,I brought
وصل,receipt
ولو,Even if
الكرة,The ball
يصل,It arrives
موجودة,present
نحصل,We get
الثالثة,Third
أياً,Any
اللعب,Play
لكى,in order to
المسيح,Jesus
استخدام,Use
نحنُ,we
يفعله,He does it
محقة,Right
فهي,It is
تتذكر,Remember
ارى,Show
يملك,He owns
نخرج,We go out
تظهر,Show
تعد,It is
تجعل,make
الطاقة,Energy
أريده,I want it
تتحدثين,You are talking
أشكرك,I thank you
أترى,Do you see?
للذهاب,To go
واثق,Confident
هاي,Hi
مجنونة,crazy
جانب,side
القتال,Fighting
القاضي,judge
المحقق,The investigator
بطاقة,card
متأخر,late
شعر,hair
ماهذا,What is this
يظهر,He appears
مال,money
ساعدني,Help me
العملية,The process
هاتف,phone
الأم,the mom
يخرج,He goes out
كلارك,Clark
الموسم,season
يأخذ,He takes
يعرفون,They know
فعلتها,I did it
وهناك,And there
الظلام,darkness
الرقص,dance
لرؤية,To see
الولايات,States
مدرسة,school
نحاول,We are trying
كيفية,How to
تمزح,Are you kidding?
أسبوع,week
تقولين,You say
دفع,to push
قمنا,We did
يجعلك,Makes you
بداية,beginning
يهتم,He cares
الغداء,the lunch
لندن,London
طعام,food
كاملة,Complete
وربما,And perhaps
مزيد,More
شون,Sean
إحدى,One
المدير,the boss
ريتشارد,Richard
لربما,Perhaps
لنفسك,For yourself
ستيف,Steve
سيتم,It will be
بى,with me
تتحرك,It moves
الحيوانات,animals
بيتي,My house
أتفهم,I understand
إنهُ,that it
وسط,middle
قلب,heart
ملابس,clothes
الفندق,hotel
كريس,Chris
أرجوكِ,Please
الضوء,light
اللعنه,the curse
حسب,According to
الرسالة,message
لان,because
الحكومة,the government
صديقة,girlfriend
كلب,dog
تَعْرفُ,to get to know
قررت,I decided
مستعدة,Ready
الأعلى,top
حل,solution
يدك,your hand
المهم,the important
جزيلاً,Very much
إسمع,Listen
منّي,Mona
الخطة,the plan
رأس,head
إنّك,You
وصلنا,We arrived
أقوله,I say it
آمن,security
شخصية,a personality
اتصلت,I called
سمحت,Allowed
جنون,madness
يشعر,He feels
الشيطان,Satan
يبقى,remains
حرب,war
الأسئلة,Questions
تهتم,It cares
بيني,Penny
أجلي,My deadline
تتكلم,She speaks
تشعرين,You feel
دوماً,Always
كنتم,You were
ومع,And with
روبرت,Robert
سأقول,I will say
الشعر,the hair
تي,T
اننى,I
تغير,change
قوله,His saying
واحده,one
أيمكنني,Can I?
اليك,Here you go
الأعمال,Business
أصدقائي,my friends
يدي,My hand
يمكنهم,They can
مثلما,as
كـ,K
حصلنا,We got
حب,love
بان,Ban
بوسعي,I can
بمجرد,Once
معكم,With you
أَعْرفُ,I know
الرقم,Number
طيب,good
رأسي,vertical
لحم,meat
أعيش,I live
الغابة,the forest
جاد,serious
.لا,.no
سان,San
تومي,Tommy
تسمع,You hear
الآنسة,Miss
أليكس,Alex
أراهن,I bet
مسألة,issue
القطار,train
أحسنت,I did well
التلفاز,Television
أرسل,Send
بسيط,basic
ملك,king
ولماذا,And why?
شرطي,policeman
السلامة,Safety
جميعنا,All of us
صور,photo
يدعى,Called
عظيمة,Great
العمر,the age
البلاد,The country
اردت,I wanted
سرقة,theft
حماية,protection
سكوت,Scott
اليه,To him
تقوله,She says it
جاي,Jay
تريدني,You want me
خدمة,service
ابداً,never
للبيت,For the house
سأخبرك,I will tell you
سو,So
أتعرفين,Do you know
قوي,strong
عد,counting
خاطئ,wrong
وعلى,And on
معذرة,Sorry
فتيات,girls
عذراً,Sorry
رباه,Oh God
دماء,blood
تتوقف,Stop
اللحم,meat
القدم,foot
إنتهى,I finish
قلق,anxiety
قالوا,They said
أبدو,I look
بالعمل,Working
تاريخ,date
اجلس,Sit
الضحية,The victim
باريس,Paris
فكر,to think
الأبيض,White
تنتهي,It ends
لنرى,Let's see
مؤخراً,recently
الرائع,The wonderful
