Arabic,English
أردت,I wanted
النار,the fire
سمعت,I heard
جميع,all
قليلاً,a little
انتظر,wait
فتاة,girl
كبير,big
يعرف,knows
فيها,in it
الرجال,the men
السبب,the reason
سنوات,years
الباب,the door
نذهب,we go
حياتي,my life
السيارة,the car
خارج,outside
ثلاثة,three
تذهب,you go
كانوا,they were
الحصول,getting
يقول,says
الواقع,reality
كثيراً,a lot
كبيرة,big
أحتاج,I need
قمت,I did
منها,from it
استطيع,I can
نوع,type
هنالك,there
جميلة,beautiful
بكل,with all
دولار,dollar
الأفضل,the best
جديد,new
اين,where
بالضبط,exactly
دعنا,let us
المدينة,the city
جميل,beautiful
بسرعة,quickly
الأرض,the earth
لحظة,moment
الطريقة,the way
رائعة,wonderful
سعيد,happy
دقيقة,minute
لكنه,but he
غرفة,room
إليه,to him
التحدث,talking
ثانية,second
دعني,let me
لكنني,but I
الفتاة,the girl
أنتم,you (plural)
عظيم,great
جيداً,well
نفسي,myself
إليك,to you
قام,he did
لديها,she has
عام,year
يعمل,works
سأكون,I will be
عيد,holiday
رفاق,friends
ألم,pain
لهم,for them
تعمل,you work
تتحدث,you speak
الله,God
ساعة,hour
المرة,the time
ترى,you see
متأكد,sure
جميعاً,all
أحاول,I try
الموت,death
رقم,number
منهم,from them
سيارة,car
مجدداً,again
عنك,about you
يفعل,does
ذهبت,I went
المزيد,more
أتمنى,I hope
مات,died
يتم,it is done
لكني,but I
طريق,road
وجدت,I found
أول,first
معها,with her
سعيدة,happy
لدى,have
أقصد,I mean
إلا,except
صباح,morning
الرئيس,the president
فرصة,opportunity
الأولى,the first
يكفي,enough
علاقة,relationship
صغيرة,small
الأقل,least
غريب,strange
لنذهب,let's go
المدرسة,the school
الصباح,the morning
أفهم,I understand
حين,when
صديقي,my friend
سأذهب,I will go
تأتي,you come
أخبرني,tell me
نستطيع,we can
نفسه,himself
الأطفال,the children
حالة,case
يستطيع,can
يجري,runs
سنة,year
نفعل,we do
نهاية,end
أفكر,I think
أود,I would like
عشر,ten
الحب,love
معاً,together
لديهم,they have
جديدة,new
يعلم,knows
قالت,she said
بدأت,started
الأول,the first
دقائق,minutes
عني,about me
سيدة,lady
حالك,your condition
إنني,that I
عزيزي,my dear
رجال,men
نعرف,we know
رؤية,seeing
ينبغي,should
حصل,happened
معنا,with us
الطفل,the child
وليس,and not
كي,so that
تحتاج,you need
قليلا,a little
حياة,life
اسمع,listen
الساعة,the hour
أكبر,bigger
فهمت,I understood
عنها,about her
أريدك,I want you
رجاءً,please
تفعله,you do it
ظننت,I thought
سيدتي,madam
البعض,some
الصغير,the small one
تعني,you mean
البيت,the house
رأيك,your opinion
تكوني,you are (female)
هُنا,here
والدك,your father
مهما,whatever
العودة,return
تماما,completely
لطيف,nice
يقوم,does
السجن,prison
الليل,the night
السيدة,the lady
أخي,my brother
طويلة,long
والدي,my father
حان,time has come
أقل,less
الهاتف,the phone
عبر,through
ترجمة,translation
نحتاج,we need
أيتها,hey (female)
أتحدث,I speak
أيام,days
أحدهم,one of them
أولاً,first
الماضي,the past
أحبك,I love you
الطعام,the food
البقاء,staying
معرفة,knowledge
العام,the year
أصبح,become
ذات,with / possessing
الجديد,the new
وضع,place
سيئة,bad
طفل,child
فوق,above
حياتك,your life
داخل,inside
وكان,and was
نكون,we are
خطأ,mistake
سام,Sam
ونحن,and we
منزل,house
تشعر,you feel
عليهم,on them
المفترض,supposed
نتحدث,we talk
طويل,long
نصف,half
فريق,team
أخذ,took
الماء,the water
لاحقاً,later
حق,right
يأتي,comes
صديق,friend
غداً,tomorrow
سأفعل,I will do
منا,from us
الصغيرة,the small one
نريد,we want
خذ,take
جزء,part
لكنها,but she
جو,weather
أشياء,things
كلمة,word
تفعلين,you do (female)
أعمل,I work
يمكنه,he can
الآخر,the other
تحاول,you try
صغير,small
لستُ,I am not
بخصوص,regarding
أخبرك,I tell you
الحال,the situation
بأي,with any
نظرة,look
لأجل,for the sake of
الخروج,going out
تظن,you think
النوم,sleep
الماضية,the past
دكتور,doctor
المرأة,the woman
انظري,look (female)
لمدة,for a period
وجود,existence
الحرب,the war
ذا,this
تقلق,worry
بلا,without
عرفت,I knew
ثلاث,three
هلا,come on
أدري,I know
ذهب,went
المشكلة,the problem
الأسبوع,the week
الوحيدة,the only one
كله,all of it
تعالي,come (female)
إنك,that you
حاولت,I tried
دعونا,let us
اخرى,another
وشك,about to
فعلاً,really
وسوف,and will
عائلة,family
عدم,not
أخبرتك,I told you
سيدى,my sir
رئيس,president
فأنا,so I
الغرفة,the room
المساعدة,the help
الخارج,outside
بعيداً,far away
أعطني,give me
اذن,then
سيء,bad
العديد,many
أصبحت,I became
الطبيب,the doctor
رسالة,message
خمسة,five
يذهب,goes
العشاء,dinner
الفتيات,the girls
النساء,the women
ضد,against
تحصل,you get
نقوم,we do
جيدا,well
يهم,matters
بهم,with them
الموضوع,the topic
الممكن,possible
الفتى,the boy
مباشرة,directly
بالأمر,about the matter
أتذكر,I remember
بيت,house
بطريقة,in a way
ساعات,hours
حينما,when
فترة,period
الأشخاص,the people
أراك,I see you
اسم,name
قصة,story
توجد,exists
القادمة,the coming
امرأة,woman
فتى,boy
افضل,better
حقيقي,real
بواسطة,by
مجنون,crazy
زوجتي,my wife
أهذا,is this
متأكدة,sure (female)
ذاهب,going
يحصل,happens
تحب,you love
النهاية,the end
مكتب,office
مثلك,like you
اننا,that we
بالخارج,outside
لهذه,for this
الحق,the truth
بلى,yes
أصدق,I believe
آمل,I hope
الإطلاق,at all
طلب,request
بدأ,started
لعبة,game
جورج,George
قريباً,soon
مجموعة,group
أمام,in front of
الحديث,talking
مساعدتك,helping you
حاول,try
حقيقة,truth
اللقاء,the meeting
مدى,extent
صورة,picture
التفكير,thinking
الملك,the king
الأخيرة,the last
الثانية,the second
فهو,so he
تحدث,spoke
الوضع,the situation
عدد,number
حفلة,party
ولكني,but I
لسنا,we are not
تبقى,remain
مدينة,city
كهذا,like this
انتهى,finished
يحاول,tries
نحو,toward
أشهر,months
مثير,exciting
شركة,company
تفهم,you understand
الجديدة,the new
لكل,for all
أصدقاء,friends
النوع,type
الجيد,the good
ميت,dead
بيننا,between us
الرب,the Lord
عملية,operation
ذو,with
القضية,the case
أحضر,bring
قادم,coming
الواضح,clear
دعيني,let me (female)
تفضل,please / go ahead
توم,Tom
أتيت,I came
أسمع,I hear
تأخذ,you take
قول,say
العائلة,the family
بنفسك,by yourself
موعد,appointment
عندي,I have
أثناء,during
ممكن,possible
تخبرني,you tell me
إذًا,so
الكبير,the big one
صاح,shouted
إنتظر,wait
الزواج,marriage
فعلته,I did it
ولكنه,but he
حبيبتي,my darling
تذكر,remember
أمك,your mother
مستحيل,impossible
اعتقدت,I thought
مليون,million
علم,knowledge
قل,say
طلبت,I asked
ربّما,perhaps
ذاك,that
حسن,good
الأخرى,the other
يحتاج,needs
تعود,return
نسيت,I forgot
وصلت,I arrived
انتظري,wait (female)
نعلم,we know
النظر,looking
إذهب,go
أتريد,do you want
عدة,several
سيحدث,will happen
ابن,son
الصعب,difficult
تقريباً,almost
الحظ,luck
ألف,thousand
مساعدة,help
تصبح,become
سأقوم,I will do
جئت,I came
خلف,behind
خمس,five
الحقيقي,the real
منكم,from you (plural)
أربعة,four
القليل,a little
يزال,still
الدم,blood
إننا,that we
أسرع,faster
البداية,the beginning
سأعود,I will return
صعب,difficult
بعيدا,far
كن,be
عرض,offer
بكثير,much
وعندما,and when
اسمه,his name
تفكر,you think
آنسة,miss
تعتقدين,you think (female)
فقدت,I lost
مهم,important
يتحدث,he speaks
لأي,for any
بعدها,after that
يريدون,they want
يوماً,day
يعود,returns
جاء,came
هُناك,there
ترك,left
المناسب,appropriate
السؤال,the question
اكون,I am
الآخرين,others
تقصد,you mean
اتصل,call
تبدين,you appear
للعمل,for work
معهم,with them
التالي,next
شرطة,police
قط,cat
جريمة,crime
أبحث,I search
توقفي,stop (female)
بنفسي,myself
الشمس,the sun
فكرت,I thought
يفترض,supposed
السماء,the sky
الوصول,arrival
الجانب,the side
أحصل,I get
عشرة,ten
معا,together
الداخل,the inside
أعود,I return
المعلومات,the information
تحمل,carry
أطفال,children
الثاني,the second
جيّد,good
هذة,this
ببعض,with some
يارجل,man!
بكم,how much (plural)
وداعاً,goodbye
يعد,prepare
الأيام,the days
أسوأ,worse
مشاكل,problems
البحث,search
ستفعل,you will do
اسمي,my name
واضح,clear
جهاز,device
حتى,until
الدخول,entry
الحلقة,episode
قتلت,I killed
مستعد,ready
يقولون,they say
فعلا,really
بضعة,a few
نوعاً,kind of
عما,about what
أمس,yesterday
الجزء,the part
اقول,I say
اللحظة,the moment
القديمة,the old
مَن,who
كرة,ball
المخدرات,drugs
محق,right
ستة,six
وهذه,and this
المستشفى,the hospital
صوت,voice
نرى,we see
الكلام,speech
رجاء,please
سنذهب,we will go
قضية,case
كامل,complete
أكره,I hate
مختلف,different
خاصة,special
اتفقنا,we agreed
أخذت,I took
خطر,danger
قطعة,piece
رائعاً,wonderful
طالما,as long as
زال,still
أحياناً,sometimes
أأنت,are you
مقابل,against
قم,do
عليكم,on you (plural)
مركز,center
بإمكاني,I can
الدكتور,the doctor
القائد,the leader
المنطقة,the area
الخطأ,the mistake
أطلب,I request
تعيش,you live
الاشياء,the things
لفترة,for a period
زوجتك,your wife
يحب,he loves
المعذرة,sorry
عالم,world
طبيب,doctor
الفريق,the team
الصورة,the picture
نفسها,herself
لكننا,but we
الاتصال,contact
حيال,regarding
مفهوم,understood
وبعدها,and after that
مختلفة,different
شعرت,I felt
الشارع,the street
بإمكانك,you can
غدا,tomorrow
مضحك,funny
الطائرة,the airplane
فعلها,he did it
ينتهي,ends
منتصف,middle
القانون,the law
رأيته,I saw him
أنتظر,I wait
الهواء,the air
الكتاب,the book
قسم,department
سنكون,we will be
فيلم,film
أهتم,I care
موجود,exists
بشدة,strongly
القتل,the killing
ممتاز,excellent
العثور,finding
مرات,times
كثير,many
ابني,my son
لطيفة,nice
أقسم,I swear
الشعور,the feeling
وجه,face
أولئك,those
إني,I
أجد,I find
حوالي,around
قليل,little
أحداً,someone
حاجة,need
يعيش,live
أخيراً,finally
إعادة,again
أنتما,you two
حالاً,immediately
دليل,evidence
فإن,then
السنة,the year
مازال,still
القاتل,the killer
ولقد,and indeed
ميلاد,birth
شهر,month
تعلمون,you know (plural)
السيطرة,control
قوة,power
رحلة,trip
ستعمل,will work
أسفل,below
يعتقد,believes
زوجي,my husband
علمت,I knew
عملي,my work
القادم,the next
وهل,and is
تزال,still
العرض,the show
الصحيح,correct
أحمق,idiot
القصة,the story
هراء,nonsense
مساء,evening
تركت,I left
يموت,he dies
جاهز,ready
المكتب,the office
اخرج,go out
محاولة,attempt
الصور,the pictures
عدت,I returned
اللعبة,the game
عاد,returned
ترغب,you wish
اسمك,your name
الوغد,bastard
تبحث,you search
اسمعي,listen (female)
خطة,plan
وراء,behind
السفينة,the ship
قائمة,list
وضعت,I put
حقيقية,real
تنظر,you look
تود,you wish
موقع,location
بالكامل,completely
مهمة,mission
أطلق,launch
شباب,youth
البلدة,the town
القهوة,coffee
المحتمل,possible
حينها,then
أرغب,I want
رأي,opinion
مرة,once
تخرج,you leave
مازلت,I still
تستطيعين,you can (female)
معلومات,information
اشعر,I feel
أعد,I promise
انظروا,look
كوني,be (female)
الفرصة,the opportunity
ماهو,what is
قلبي,my heart
الخط,the line
الشئ,the thing
تبا,damn
صديقك,your friend
مجددا,again
تجد,you find
قاتل,killer
نجد,we find
إيجاد,finding
يجعل,makes
يصبح,becomes
نقطة,point
البشر,humans
نظام,system
تبدأ,begin
تملك,own
أملك,I own
ضع,put
تمت,it was done
مضى,passed
أعرفه,I know him
أخبر,tell
البحر,the sea
رؤيتك,seeing you
رأسك,your head
الأخبار,the news
أما,as for
يستحق,deserves
العميل,the client
المحكمة,the court
دعينا,let us
تغيير,change
الأرجح,most likely
بالداخل,inside
عدا,except
منزلي,my house
القديم,the old
خائفة,afraid
كثيرة,many
للحصول,to obtain
قامت,she did
إطلاق,release
المشاكل,the problems
كلنا,all of us
حتي,until
خيار,choice
بماذا,with what
عندها,then
كلما,whenever
تحرك,move
أجلك,for you
الغد,tomorrow
ماتت,she died
يتعلق,relates
غبي,stupid
اذاً,then
أخبار,news
عائلتي,my family
القلب,the heart
بعيد,far
جعل,make
الحالة,the situation
إمرأة,woman
الموسيقى,music
أعلى,higher
سبق,before
إلينا,to us
ارجوك,please
القيادة,driving
لأننا,because we
الشركة,the company
العيش,living
البارحة,yesterday
القوة,the power
يجدر,should
منطقة,area
يمكنها,she can
بالكاد,barely
خاص,private
وظيفة,job
اثنان,two
معنى,meaning
الطابق,the floor
القول,saying
تحدثت,I spoke
حد,limit
الميلاد,birth
عملك,your work
النقود,the money
قريب,near
أولا,first
فلن,then let's
رجلاً,man
عندك,you have
وكنت,and I was
قلته,I said it
الأحمق,the idiot
أتى,came
ام,mother
جيم,Jim
حياته,his life
الكبيرة,the big
السابقة,the previous
صاحب,owner
الملابس,clothes
وقال,and he said
للأبد,forever
بنفس,with same
أشخاص,people
وإلا,otherwise
الأمن,security
خائف,afraid
الأكثر,the most
السابق,the previous
أفعله,I do it
أخشى,I fear
السلاح,the weapon
تموت,die
ولكنها,but she
سنفعل,we will do
لبعض,for some
وهم,they
الدماء,blood
اثنين,two
لكَ,for you
أعدك,I promise you
حفل,party
وقتاً,time
تريده,you want it
أسابيع,weeks
يكونوا,they are
الجيش,the army
زوجة,wife
فهذا,so this
أخبرتني,you told me
أعتذر,I apologize
كلانا,both of us
سنقوم,we will do
واحداً,one
برنامج,program
فأنت,so you
المتحدة,the united
سلاح,weapon
اللعينة,damn
صندوق,box
يديك,your hands
الكلب,the dog
لطالما,always
ابتعد,go away
الحمام,bathroom
الغير,others
بني,built
أمريكا,America
الهدف,the goal
ولد,boy
الأخير,the last
وجدنا,we found
انتم,you
سخيف,ridiculous
لمن,for whom
احب,I love
قطع,cut
ثمة,there is
بجانب,beside
احتاج,I need
تقريبا,almost
الامور,matters
قدم,foot
قوية,strong
عاماً,year
اظن,I think
الحفلة,the party
نبدأ,we begin
غريبة,strange
فهم,understand
وذلك,and that
اعني,I mean
أراد,he wanted
ظهر,appeared
سماع,hearing
الكفاية,enough
الثالث,the third
تناول,take
التعامل,dealing
الانتظار,waiting
دور,role
هدية,gift
هاه,huh
كتاب,book
معى,with me
تقل,decrease
رائحة,smell
معظم,most
الفيلم,the movie
حبيبي,my love
سأتصل,I will call
مكانك,your place
نعمل,we work
الصوت,the sound
المياه,the water
مثلي,like me
شعور,feeling
الخلف,the back
عادة,usually
قريبا,soon
ابنتي,my daughter
المستقبل,the future
خرجت,I went out
وجهي,my face
الهراء,nonsense
رغم,despite
فجأة,suddenly
مثيرة,exciting
الإتصال,contact
أيمكنك,can you
والدتك,your mother
أختي,my sister
ليسوا,they are not
الجميلة,the beautiful
المبنى,the building
النظام,the system
لديكم,you have
بقدر,as much
هاري,Harry
نبحث,we search
تصل,you arrive
بدلاً,instead
كنتَ,you were
درجة,degree
الرغم,despite
بالمناسبة,by the way
طريقي,my way
قادمة,coming
مرّة,once
آل,Al
السرير,the bed
وجهك,your face
أمراً,matter
وإن,and if
السيارات,the cars
المهمة,the mission
بالله,for God's sake
أهلا,welcome
اذهبي,go (female)
أتصل,I call
زوجته,his wife
القبض,arrest
مريض,sick
بلدي,my country
أخبريني,tell me (female)
لاحقا,later
الشاب,the young man
العجوز,the old man
نعود,we return
سيّد,mister
الأب,the father
مذهل,amazing
عملت,I worked
مارك,Mark
أحضرت,I brought
وصل,arrived
ولو,even if
يصل,arrives
موجودة,existing
نحصل,we get
الثالثة,the third
أياً,any
اللعب,playing
لكى,so that
المسيح,Christ
استخدام,use
يفعله,he does it
محقة,right
فهي,so she
تتذكر,you remember
ارى,I see
يملك,owns
نخرج,we go out
تظهر,appear
تعد,count
تجعل,make
الطاقة,energy
أريده,I want it
تتحدثين,you speak
أشكرك,I thank you
أترى,do you see
للذهاب,to go
واثق,confident
هاي,hi
مجنونة,crazy
جانب,side
القتال,fighting
القاضي,the judge
المحقق,the investigator
بطاقة,card
متأخر,late
شعر,hair
ماهذا,what is this
مال,money
ساعدني,help me
العملية,the operation
هاتف,phone
الأم,the mother
يخرج,goes out
الموسم,the season
يأخذ,takes
يعرفون,they know
فعلتها,I did it
الظلام,the darkness
الرقص,dancing
لرؤية,to see
الولايات,the states
مدرسة,school
نحاول,we try
كيفية,how
تمزح,you joke
أسبوع,week
تقولين,you say (female)
دفع,pay
قمنا,we did
يجعلك,makes you
بداية,beginning
يهتم,cares
الغداء,lunch
لندن,London
طعام,food
كاملة,complete
وربما,and maybe
مزيد,more
شون,Sean
إحدى,one of
المدير,the manager
ريتشارد,Richard
لربما,perhaps
لنفسك,for yourself
ستيف,Steve
سيتم,will be
تتحرك,move
الحيوانات,the animals
بيتي,my house
أتفهم,I understand
وسط,middle
قلب,heart
ملابس,clothes
الفندق,the hotel
كريس,Chris
أرجوكِ,please (female)
الضوء,the light
الرسالة,the message
لان,because
الحكومة,the government
صديقة,friend
كلب,dog
قررت,I decided
مستعدة,ready
الأعلى,the top
حل,solution
يدك,your hand
المهم,the important thing
جزيلاً,very much
إسمع,listen
منّي,from me
الخطة,the plan
رأس,head
وصلنا,we arrived
أقوله,I say it
آمن,safe
شخصية,personality
اتصلت,I called
سمحت,I allowed
جنون,madness
يشعر,feels
الشيطان,the devil
يبقى,remains
حرب,war
الأسئلة,the questions
تهتم,you care
بيني,between me
أجلي,for me
تتكلم,you speak
تشعرين,you feel
دوماً,always
كنتم,you were
روبرت,Robert
سأقول,I will say
الشعر,the hair
تغير,change
قوله,his saying
واحده,one
أيمكنني,can I
اليك,to you
الأعمال,the works
أصدقائي,my friends
يدي,my hand
يمكنهم,they can
مثلما,just like
حصلنا,we got
حب,love
بان,that
بوسعي,I can
بمجرد,just
معكم,with you
الرقم,the number
طيب,okay
رأسي,my head
لحم,meat
أعيش,I live
الغابة,the forest
جاد,serious
سان,San
تسمع,you hear
الآنسة,the lady
أليكس,Alex
أراهن,I bet
مسألة,matter
القطار,the train
أحسنت,well done
التلفاز,the television
أرسل,I send
بسيط,simple
ملك,king
ولماذا,and why
شرطي,policeman
السلامة,safety
جميعنا,all of us
صور,pictures
يدعى,called
عظيمة,great
العمر,age
البلاد,the country
اردت,I wanted
سرقة,theft
حماية,protection
سكوت,Scott
تقوله,you say it
جاي,Jay
تريدني,you want me
خدمة,service
سو,so
قوي,strong
عد,return
خاطئ,wrong
وعلى,and on
معذرة,excuse me
فتيات,girls
عذراً,sorry
رباه,my God
دماء,blood
تتوقف,stop
اللحم,the meat
القدم,the foot
إنتهى,finished
قلق,worried
قالوا,they said
أبدو,I seem
بالعمل,at work
تاريخ,history
اجلس,sit
الضحية,the victim
باريس,Paris
فكر,think
الأبيض,the white
تنتهي,end
لنرى,let's see
مؤخراً,recently
الرائع,wonderful
تضع,you put
الأسلحة,the weapons
خط,line
الدفاع,defense
حالما,as soon as
بالإضافة,in addition
بعضهم,some of them
أبقى,I stay
بأمان,safely
أثق,I trust
تظنين,you think (female)
التالية,the next
تسير,walk
الأولاد,the boys
مساعدتي,my help
أمور,matters
شراب,drink
الألم,the pain
الأحيان,sometimes
الشاحنة,the truck
الكلمات,the words
التوقف,stop
كنّا,we were
وداعا,goodbye
سابقاً,previously
اسمها,her name
دان,Dan
أدخل,I enter
والتر,Walter
امر,order
اتمنى,I hope
ثمن,price
جاهزة,ready
لشخص,for someone
تقولي,you say (female)
جوني,Johnny
حضرة,sir
خذي,take (female)
الكنيسة,the church
بناء,building
ستذهب,you will go
المفضل,the favorite
مشاهدة,watching
سيئ,bad
صفقة,deal
عمله,his work
واو,wow
بالرغم,despite
الصف,the class
كلير,Claire
لكنهم,but they
الجلوس,sitting
السرعة,the speed
بوبي,Bobby
الشراب,the drink
موافقة,agreement
الجميل,the beautiful
الفكرة,the idea
بالقرب,near
الشخصية,the character
القمر,the moon
آلاف,thousands
تتصل,you call
وكانت,and she was
كهذه,like this
أربع,four
طائرة,airplane
الثانوية,secondary
استمع,listen
وكذلك,also
مرتين,twice
سبعة,seven
جيري,Jerry
شارع,street
ميتة,dead
يرى,sees
بقية,rest
أقدر,I appreciate
يجعلني,makes me
أراه,I see him
تعرفي,you know (female)
زوج,husband
الزمن,time
سواء,whether
قتله,killed him
موت,death
الدرجة,the degree
لله,for God
انتهت,ended
دخلت,I entered
للخروج,to exit
صنع,make
أمل,hope
طبيعي,normal
السلام,peace
شراء,buying
فرقة,team
السادة,the gentlemen
الترجمة,the translation
تدخل,enter
الكل,all
نصل,we arrive
فندق,hotel
الصندوق,the box
شكل,shape
منزلك,your house
أقرب,closer
الحقيقية,the real
الرئيسي,the main
زوجك,your husband
طويلاً,long
أعمال,works
مشغول,busy
حامل,pregnant
يارفاق,guys
تفعلينه,you do (female)
شك,doubt
التحكم,control
طبعاً,of course
ولهذا,for this
سعيداً,happy
مناسب,suitable
قاموا,they did
أبى,my father
الشباب,the youth
يمكنكم,you can
تقدم,progress
الأسود,the black
زمن,time
خير,good
تطلب,you ask
يبدأ,begins
باب,door
والدتي,my mother
صديقتي,my friend
عائلتك,your family
يومين,two days
روز,Rose
كابتن,captain
سهل,easy
خطير,dangerous
بشأنه,about him
الرحيل,departure
كارل,Carl
أتوقع,I expect
النجدة,help
يبحث,searches
يد,hand
غاضبة,angry
توماس,Thomas
يوما,day
تعرفه,you know him
الافضل,the best
يقتل,kills
طول,length
إما,either
وحدة,unit
سيارتي,my car
توني,Tony
دين,religion
المفتاح,the key
الضغط,pressure
أقوى,stronger
موافق,agree
الرحلة,the trip
وجد,found
تلعب,play
ببساطة,simply
إعتقدت,I believed
صباحاً,in the morning
نوعا,kind
قادر,able
طريقه,his way
ذاهبة,going
تكذب,you lie
دخل,entered
كنتي,you were (female)
أقدم,older
مجلس,council
جيني,Jenny
سوياً,together
الخطب,the speech
توقفوا,stop
لستِ,you are not (female)
عطلة,holiday
نادي,club
حياتنا,our life
للقيام,to do
ماهي,what is
عمي,my uncle
بضع,a few
الإنتظار,waiting
مجال,field
عميل,client
ترين,you see (female)
منى,Mona
المسدس,the gun
كايل,Kyle
ليلي,Lily
مدير,manager
لعين,damn
الشهر,the month
للحظة,for a moment
قرأت,I read
داعي,reason
إبن,son
الجو,the weather
محطة,station
افكر,I think
تأكيد,confirmation
سيأتي,will come
آن,now
الأبد,forever
قيمة,value
بدا,seemed
الأصدقاء,the friends
فتح,open
وكأنه,as if
الزفاف,the wedding
فمن,so who
آخذ,I take
لأحد,for someone
قف,stop
الطاولة,the table
خطوة,step
تمانع,mind
بالأمس,yesterday
وقعت,I fell
عقد,contract
بإمكاننا,we can
والد,father
للهول,oh my God
ثمانية,eight
العظيم,the great
السيدات,the ladies
قائد,leader
الحالي,current
يتوجب,must
شاب,young man
فيك,in you
تقرير,report
سبيل,way
الخوف,fear
الموقع,the location
صحيحاً,correct
الحدود,the borders
لوك,Luke
شخصا,person
النافذة,the window
تنتظر,you wait
كيم,Kim
اقصد,I mean
أفترض,I assume
رأيتها,I saw her
الملازم,the lieutenant
لمعرفة,to know
تستخدم,use
يفعلون,they do
الأحمر,the red
الكلمة,the word
صعبة,difficult
ذكر,male
تحديد,determine
خرج,went out
ريد,Reed
ابقى,stay
التحقيق,the investigation
حركة,movement
فيل,elephant
الفضاء,space
غاضب,angry
جوي,Joey
للخارج,outside
توقفت,I stopped
الثلج,the snow
جيده,good
أتعتقد,do you think
علامة,sign
تقصدين,you mean (female)
قديم,old
سيئاً,bad
اقوم,I do
لفعل,to do
موضوع,topic
لا,no
من,from
في,in
أن,that
هذا,this
على,on
ما,what
أنا,I
هل,do / is
و,and
يا,oh
ذلك,that
لقد,already
لم,not
ماذا,what
كان,was
هنا,here
إلى,to
أنت,you
هو,he
هذه,this
عن,about
نعم,yes
ان,that
هناك,there
كل,all
حسناً,okay
ليس,not
كنت,I was
فقط,only
شيء,thing
الآن,now
مع,with
الذي,which
لكن,but
أجل,yes
لك,for you
يجب,must
لن,will not
كيف,how
حسنا,okay
انا,I
لي,for me
إنه,it is
سوف,will
نحن,we
إذا,if
كانت,was
عندما,when
أي,any
قد,may
لماذا,why
هي,she
الأمر,the matter
أنه,that it is
فى,in
حتى,until
بعد,after
كذلك,also
أو,or
ولكن,but
قبل,before
التي,which
انه,it is
إنها,she is
لو,if
ربما,maybe
أين,where
هيا,come on
تلك,those
أعرف,I know
الى,to
إن,indeed
يكون,be
بعض,some
أريد,I want
أعتقد,I think
انت,you
عليك,you must
مثل,like
صحيح,right
به,with it
أنك,that you
الوقت,time
بخير,fine
أعلم,I know
أحد,someone
شخص,person
جداً,very
رجل,man
شكراً,thank you
لذا,so
يمكن,can
كما,as
كلا,no
أكثر,more
يبدو,seems
جيد,good
تكون,be
علي,on me
اليوم,today
يمكنك,you can
انها,it is
أليس,isn't it
مرحباً,hello
لدي,I have
عليه,on him
آخر,another
لست,I am not
منذ,since
غير,other
أيها,hey
لديك,you have
حقاً,really
أنتِ,you (female)
تريد,you want
أستطيع,I can
الرجل,the man
تعرف,you know
له,for him
مرة,once
لدينا,we have
أنها,that she
يمكنني,I can
بأن,that
واحد,one
أنني,that I
أوه,oh
سيكون,will be
الناس,people
ليست,is not
حدث,happened
بها,with her
أيضاً,also
أفضل,better
الكثير,many
علينا,on us
سيدي,sir
مكان,place
تفعل,you do
وقت,time
